Date,Open,High,Low,Close,Adj Close,Volume
2021-01-13,177.99000549316406,177.99000549316406,176.17999267578125,177.4199981689453,176.39492797851562,1750300
2021-01-14,178.6199951171875,181.08999633789062,178.6199951171875,180.0,178.9600372314453,2617400
2021-01-15,179.63999938964844,179.83999633789062,168.4499969482422,172.22000122070312,171.2249755859375,3598600
2021-01-19,177.30999755859375,178.5,174.5399932861328,175.0,173.98892211914062,2522300
2021-01-20,178.86000061035156,180.30999755859375,173.7100067138672,174.49000549316406,173.48187255859375,2590700
2021-01-21,176.63999938964844,176.75,171.72999572753906,173.6199951171875,172.6168975830078,2187400
2021-01-22,172.57000732421875,175.1699981689453,171.9199981689453,172.3000030517578,171.30453491210938,1974000
2021-01-25,176.69000244140625,176.75,171.02999877929688,174.4199981689453,173.4122772216797,2006000
2021-01-26,174.4199981689453,174.4600067138672,168.66000366210938,168.75,167.77503967285156,2231100
2021-01-27,162.72000122070312,164.42999267578125,156.02000427246094,160.55999755859375,159.63233947753906,3714500
2021-01-28,166.52999877929688,166.8000030517578,162.3800048828125,164.3300018310547,163.3805694580078,2484700
2021-01-29,164.14999389648438,167.5500030517578,159.80999755859375,160.47000122070312,159.54287719726562,3535400
2021-02-01,166.44000244140625,172.44000244140625,166.10000610351562,171.52999877929688,170.53897094726562,4953000
2021-02-02,180.0,183.0,170.6999969482422,177.2100067138672,176.1861572265625,6621800
2021-02-03,179.99000549316406,181.74000549316406,173.11000061035156,174.10000610351562,173.0941162109375,3272600
2021-02-04,175.88999938964844,181.4499969482422,175.14999389648438,181.4499969482422,180.4016571044922,2703100
2021-02-05,182.9499969482422,184.1300048828125,181.05999755859375,181.99000549316406,180.93853759765625,3031400
2021-02-08,184.6999969482422,188.14999389648438,184.0,188.1199951171875,187.0331268310547,2332800
2021-02-09,187.35000610351562,188.39999389648438,184.47000122070312,188.0399932861328,186.9535675048828,1702800
2021-02-10,191.61000061035156,191.92999267578125,183.38999938964844,187.89999389648438,186.81439208984375,2839800
2021-02-11,188.39999389648438,194.75999450683594,188.39999389648438,194.0,192.879150390625,2611700
2021-02-12,193.1699981689453,195.88999938964844,190.86000061035156,194.38999938964844,193.2668914794922,1671700
2021-02-16,199.4600067138672,200.19000244140625,193.69000244140625,195.42999267578125,194.30088806152344,2177800
2021-02-17,192.5800018310547,194.94000244140625,187.91000366210938,189.69000244140625,188.59405517578125,2395200
2021-02-18,187.5,188.9499969482422,183.0500030517578,185.8800048828125,184.80606079101562,2770100
2021-02-19,189.41000366210938,192.75999450683594,188.49000549316406,191.58999633789062,190.48306274414062,2193900
2021-02-22,190.8000030517578,192.39999389648438,184.97000122070312,185.61000061035156,184.53762817382812,2407800
2021-02-23,183.8699951171875,183.8699951171875,175.3300018310547,181.0800018310547,180.03379821777344,5191300
2021-02-24,178.0,186.82000732421875,176.92999267578125,186.2100067138672,185.13417053222656,3161700
2021-02-25,186.50999450683594,188.0,178.0500030517578,178.52000427246094,177.4886016845703,3366300
2021-02-26,182.0399932861328,184.1699981689453,177.1199951171875,182.5500030517578,181.49530029296875,2929000
2021-03-01,186.52000427246094,187.89999389648438,183.32000732421875,187.3000030517578,186.21786499023438,4355200
2021-03-02,189.0,189.75999450683594,182.05999755859375,182.27000427246094,181.21693420410156,2770600
2021-03-03,182.60000610351562,184.1699981689453,175.52999877929688,175.99000549316406,174.97320556640625,2418900
2021-03-04,173.58999633789062,176.67999267578125,164.19000244140625,167.27999877929688,166.31353759765625,3754500
2021-03-05,174.22999572753906,182.05999755859375,166.0399932861328,180.89999389648438,179.85482788085938,5076200
2021-03-08,178.82000732421875,183.5800018310547,170.14999389648438,171.0,170.01202392578125,3168600
2021-03-09,176.1300048828125,185.24000549316406,175.0,183.82000732421875,182.75796508789062,3687700
2021-03-10,186.0399932861328,187.35000610351562,180.22999572753906,180.42999267578125,179.38754272460938,2240200
2021-03-11,186.69000244140625,189.49000549316406,185.02999877929688,188.5,187.4109344482422,3206900
2021-03-12,184.88999938964844,186.66000366210938,181.7899932861328,183.47000122070312,182.95643615722656,2078000
2021-03-15,196.8000030517578,200.0,194.2100067138672,199.91000366210938,199.3504180908203,12102100
2021-03-16,201.10000610351562,206.2100067138672,200.63999938964844,202.77999877929688,202.21237182617188,6890100
2021-03-17,199.55999755859375,209.58999633789062,199.0,208.33999633789062,207.75680541992188,7321600
2021-03-18,204.14999389648438,208.25,197.69000244140625,198.58999633789062,198.0341033935547,8297300
2021-03-19,196.35000610351562,204.52999877929688,193.22000122070312,202.0399932861328,201.4744415283203,53102200
2021-03-22,203.11000061035156,206.1199951171875,196.64999389648438,200.39999389648438,199.8390350341797,5876600
2021-03-23,200.11000061035156,200.22999572753906,189.7899932861328,191.6199951171875,191.08360290527344,4748000
2021-03-24,193.25,194.50999450683594,187.25,187.27999877929688,186.75576782226562,2893000
2021-03-25,182.66000366210938,192.0,182.27999877929688,191.30999755859375,190.77447509765625,3512600
